Name,Slug,Brand,Group,Collection,Tagline,Description,Category Slug,Category Label,Subcategory Slug,Subcategory Label,Price,Rating,Reviews Count,Protocols,Functions,Compatibility,Primary Feature Title,Primary Feature Text
Sunricher SRSL-01,sunricher-srsl-01,Sunricher,b2b,Professional · 2.4G Mesh,Встраиваемый микродиммер,Компактный модуль для диммирования классических ламп накаливания и LED. Прячется прямо за обычным выключателем.,relays-actuators,Реле и модули,embedded-dimmers,Встраиваемые диммеры,2900,5.0,21,RF 2.4G Mesh,Диммирование,Sunricher 2.4G Ecosystem,Невидимый интеллект,Превращает вашу любимую классическую фурнитуру в умную.
Sunricher SR-SB2835RAC-NK4,sunricher-sr-sb2835rac-nk4,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,22800,4.7,96,RF 2.4G Mesh,Диммирование,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2835RAC-S,sunricher-sr-sb2835rac-s,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,22800,4.8,49,RF 2.4G Mesh,Диммирование,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9080A,sunricher-sr-sb9080a,Sunricher,b2b,Professional · 2.4G Mesh,Контроллер умного освещения,Компактный релейный или ШИМ-модуль для управления источниками света. Обеспечивает плавное диммирование в экосистеме Sunricher 2.4G Mesh.,relays-actuators,Реле и модули,pwm-controllers,ШИМ контроллеры,19400,4.6,32,RF 2.4G Mesh,Коммутация,Sunricher 2.4G Ecosystem,Высокая надежность,Встроенная защита от перегрузки и перегрева с автоматическим восстановлением.
Sunricher SR-2411-SB,sunricher-sr-2411-sb,Sunricher,b2b,Professional · 2.4G Mesh,Конвертер протоколов DALI / 0-10V,Модуль интеграции для связи беспроводной сети 2.4G Mesh с профессиональным проводным освещением стандартов DALI или 0-10V.,gateways-protocols,Протоколы и Шлюзы,wireless-gateways,Шлюзы и конвертеры,28800,4.6,40,RF 2.4G Mesh · DALI,Диммирование · CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Бесшовная интеграция,Объединяет коммерческие стандарты света с удобным беспроводным управлением.
Sunricher SR-2421-SB,sunricher-sr-2421-sb,Sunricher,b2b,Professional · 2.4G Mesh,Конвертер протоколов DALI / 0-10V,Модуль интеграции для связи беспроводной сети 2.4G Mesh с профессиональным проводным освещением стандартов DALI или 0-10V.,gateways-protocols,Протоколы и Шлюзы,wireless-gateways,Шлюзы и конвертеры,28800,4.6,50,RF 2.4G Mesh · DALI · 0-10V,Диммирование · CCT контроль · RGB контроль · Коммутация,Sunricher 2.4G Ecosystem,Бесшовная интеграция,Объединяет коммерческие стандарты света с удобным беспроводным управлением.
Sunricher SR-GW-HDA,sunricher-sr-gw-hda,Sunricher,b2b,Professional · 2.4G Mesh,Конвертер протоколов DALI / 0-10V,Модуль интеграции для связи беспроводной сети 2.4G Mesh с профессиональным проводным освещением стандартов DALI или 0-10V.,gateways-protocols,Протоколы и Шлюзы,wireless-gateways,Шлюзы и конвертеры,48400,4.8,71,RF 2.4G Mesh · Bluetooth · DALI,RGB контроль,Sunricher 2.4G Ecosystem · Homeelife App,Бесшовная интеграция,Объединяет коммерческие стандарты света с удобным беспроводным управлением.
Sunricher SR-SB2836D5N,sunricher-sr-sb2836d5n,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,23800,4.8,28,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2837-LCD,sunricher-sr-sb2837-lcd,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,37400,5.0,108,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9001T-Pro,sunricher-sr-sb9001t-pro,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,56400,4.9,45,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2833PAC-FOS,sunricher-sr-sb2833pac-fos,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,12000,4.7,119,RF 2.4G Mesh · Bluetooth,Коммутация,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9002KR12-Pro,sunricher-sr-sb9002kr12-pro,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,18000,4.9,31,RF 2.4G Mesh · Bluetooth,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2836D5,sunricher-sr-sb2836d5,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,25900,4.6,29,RF 2.4G Mesh,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2836D5-Pro-EU,sunricher-sr-sb2836d5-pro-eu,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,19100,4.7,105,RF 2.4G Mesh · Bluetooth,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2836D5-Pro-US,sunricher-sr-sb2836d5-pro-us,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,19100,4.8,46,RF 2.4G Mesh · Bluetooth,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2836D5-Pro,sunricher-sr-sb2836d5-pro,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,28600,4.8,60,RF 2.4G Mesh · Bluetooth,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2835,sunricher-sr-sb2835,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.8,70,RF 2.4G Mesh,Диммирование · CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9001K2-DIM2,sunricher-sr-sb9001k2-dim2,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,20700,4.6,99,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9001K4-DIM2,sunricher-sr-sb9001k4-dim2,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,20700,4.6,44,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2801K2-DIM-E,sunricher-sr-sb2801k2-dim-e,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.9,35,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2801K4-DIM-G2-E,sunricher-sr-sb2801k4-dim-g2-e,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.7,108,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2801K4-FOS-E,sunricher-sr-sb2801k4-fos-e,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.9,58,RF 2.4G Mesh · Bluetooth,Управление освещением,Sunricher 2.4G Ecosystem · Homeelife App,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB9001K12-DIM-Z4,sunricher-sr-sb9001k12-dim-z4,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.6,61,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2803-G4-CCT,sunricher-sr-sb2803-g4-cct,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.8,44,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2803-G4-RGBW,sunricher-sr-sb2803-g4-rgbw,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.8,61,RF 2.4G Mesh,RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2803-G4-5C,sunricher-sr-sb2803-g4-5c,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11800,4.7,92,RF 2.4G Mesh,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K7-DIM,sunricher-sr-sb2868k7-dim,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,5.0,114,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K7-CCT,sunricher-sr-sb2868k7-cct,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,4.6,102,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K7-5C,sunricher-sr-sb2868k7-5c,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,4.7,94,RF 2.4G Mesh,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K12-DIM,sunricher-sr-sb2868k12-dim,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,5.0,33,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K12-CCT,sunricher-sr-sb2868k12-cct,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,4.9,82,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868K12-5C,sunricher-sr-sb2868k12-5c,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8800,4.8,31,RF 2.4G Mesh,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868EK7-DIM,sunricher-sr-sb2868ek7-dim,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8300,4.7,115,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868EK7-CCT,sunricher-sr-sb2868ek7-cct,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8300,4.7,16,RF 2.4G Mesh,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2868EK7-5C,sunricher-sr-sb2868ek7-5c,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,8300,4.6,47,RF 2.4G Mesh,CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2807,sunricher-sr-sb2807,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,6800,4.9,92,RF 2.4G Mesh,Диммирование · CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2858A,sunricher-sr-sb2858a,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11500,4.8,99,RF 2.4G Mesh,Диммирование · CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2858,sunricher-sr-sb2858,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,11500,4.8,23,RF 2.4G Mesh,Диммирование · CCT контроль · RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2819S,sunricher-sr-sb2819s,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,21900,5.0,53,RF 2.4G Mesh · Bluetooth,RGB контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2819S-CCT,sunricher-sr-sb2819s-cct,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,21900,4.7,42,RF 2.4G Mesh · Bluetooth,CCT контроль,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
Sunricher SR-SB2819S-DIM,sunricher-sr-sb2819s-dim,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводная панель управления,"Стильный пульт-выключатель. Управляйте зонами света, цветом и сценариями без проводов и необходимости штробить стены.",control,Управление,wireless-buttons,Беспроводные выключатели,21900,4.9,114,RF 2.4G Mesh · Bluetooth,Управление освещением,Sunricher 2.4G Ecosystem,Свобода размещения,Крепится на любую стену с помощью 3M скотча или магнита.
