Name,Slug,Brand,Group,Collection,Tagline,Description,Category Slug,Category Label,Subcategory Slug,Subcategory Label,Price,Rating,Reviews Count,Protocols,Functions,Compatibility,Primary Feature Title,Primary Feature Text
Sunricher SR-2400AMP,sr-2400amp,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400AMP обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,48,DALI · Bluetooth,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400BRC,sr-2400brc,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400BRC обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,41,DALI · Bluetooth,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303D4,sr-2303d4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303D4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,15600,4.8,36,DALI-2 · Bluetooth · D4i,Диммирование,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303S,sr-2303s,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303S обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,12400,4.8,31,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303NS,sr-2303ns,Sunricher,b2b,Professional · DALI,Умный LED драйвер с настройкой по NFC,Программируемый блок питания для светодиодного освещения. Позволяет точно задавать выходной ток с помощью смартфона через NFC без подключения к сети.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,13200,4.9,16,DALI · NFC,Диммирование · Push DIM,DALI Ecosystem,Конфигурация по NFC,Настройка рабочих параметров драйвера за секунды с помощью приложения.
Sunricher SR-2303,sr-2303,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,14800,4.8,13,DALI,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2302B,sr-2302b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2302B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22700,4.8,35,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2304B,sr-2304b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2304B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22700,4.9,10,DALI,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309FA,sr-2309fa,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309FA обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,24300,4.8,10,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2316B,sr-2316b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2316B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22000,4.8,5,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2318B,sr-2318b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2318B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22000,4.7,12,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2304NP,sr-2304np,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2304NP обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,4.8,47,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2302P,sr-2302p,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2302P обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,4.9,47,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2304P,sr-2304p,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2304P обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,5.0,38,DALI,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2302BEA,sr-2302bea,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2302BEA обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20100,4.8,21,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2304BEA,sr-2304bea,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2304BEA обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20100,4.8,36,DALI,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2302DIN,sr-2302din,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2302DIN обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,5.0,7,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2304DIN,sr-2304din,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2304DIN обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,4.8,31,DALI,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309S-CCT,sr-2309s-cct,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309S-CCT обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,19900,4.8,36,DALI,Диммирование · CCT контроль · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309PRO,sr-2309pro,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309PRO обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21900,4.7,6,DALI · Bluetooth,Диммирование · RGBW контроль · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309PRO3,sr-2309pro3,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309PRO3 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21900,4.8,45,DALI · Bluetooth,Диммирование · RGBW контроль · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309PRO7,sr-2309pro7,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309PRO7 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21900,4.9,11,DALI · Bluetooth,Диммирование · RGBW контроль · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309PRO-5C,sr-2309pro-5c,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2309PRO-5C обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21900,4.9,25,DALI · Bluetooth,Диммирование · RGBW контроль · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2309NCV-5C,sr-2309ncv-5c,Sunricher,b2b,Professional · DALI,Умный LED драйвер с настройкой по NFC,Программируемый блок питания для светодиодного освещения. Позволяет точно задавать выходной ток с помощью смартфона через NFC без подключения к сети.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21900,4.9,43,DALI · NFC · Bluetooth,Диммирование · RGBW контроль · Push DIM,DALI Ecosystem,Конфигурация по NFC,Настройка рабочих параметров драйвера за секунды с помощью приложения.
Sunricher SR-2303FA-OLED,sr-2303fa-oled,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,23500,4.9,26,DALI · Bluetooth,Диммирование,DALI Ecosystem,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-2309FA-OLED,sr-2309fa-oled,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,23500,4.9,17,DALI · Bluetooth,Диммирование,DALI Ecosystem,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-2303P,sr-2303p,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303P обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16400,4.8,17,DALI · Bluetooth · 0-10V,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303AC,sr-2303ac,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303AC обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,15600,4.9,33,DALI · Bluetooth,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303SAC-HP,sr-2303sac-hp,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303SAC-HP обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,13200,4.8,40,DALI · Bluetooth,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303SAC-HPW,sr-2303sac-hpw,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303SAC-HPW обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,13200,4.9,10,DALI · Bluetooth,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-DA9042A-D,sr-da9042a-d,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-DA9042A-D обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,14400,4.8,35,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2303AC-4CH-DIN,sr-2303ac-4ch-din,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2303AC-4CH-DIN обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,34700,4.9,33,DALI · Bluetooth,Диммирование · Push DIM,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701B,sr-2701b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2701B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,18700,5.0,23,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2702B,sr-2702b,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2702B обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20000,4.9,8,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701S-DT7AC,sr-2701s-dt7ac,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2701S-DT7AC обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,19300,4.7,44,DALI-2 · Bluetooth,Диммирование,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701S-DT7,sr-2701s-dt7,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2701S-DT7 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,15600,5.0,39,DALI-2 · Bluetooth,Диммирование · Push DIM,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701S,sr-2701s,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2701S обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,15600,4.8,12,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701S-N,sr-2701s-n,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2701S-N обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16400,4.9,10,DALI · 0-10V,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2701DIN-DT7,sr-2701din-dt7,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,23800,4.9,43,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-DARM16-DIN4,sr-darm16-din4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-DARM16-DIN4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,34200,4.8,29,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RB-NF-DIM,sr-2400rb-nf-dim,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RB-NF-DIM обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,18200,4.7,32,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RA-DIM,sr-2400ra-dim,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RA-DIM обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.8,6,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RA-CCT,sr-2400ra-cct,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RA-CCT обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.9,47,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RA-RGB,sr-2400ra-rgb,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RA-RGB обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.7,49,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RB,sr-2400rb,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RB обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.9,43,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RB-CCT,sr-2400rb-cct,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RB-CCT обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.9,11,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RB-RGB,sr-2400rb-rgb,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RB-RGB обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.8,42,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2410RG-DIM-PL,sr-2410rg-dim-pl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2410RG-DIM-PL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,19400,4.9,48,DALI · Bluetooth,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2410RG-DIM-GL,sr-2410rg-dim-gl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2410RG-DIM-GL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21000,4.8,49,DALI · Bluetooth,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RL,sr-2400rl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.8,32,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400RL-CCT,sr-2400rl-cct,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RL-CCT обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.7,19,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
